topic,term,freq_score,tfidf_score,topic_specific_score,sentiment_association_score,positional_score,bigram_boost_score,topic_term_count,freq_score_norm,tfidf_score_norm,topic_specific_score_norm,sentiment_association_score_norm,positional_score_norm,bigram_boost_score_norm,custom_term_score
Artificial Intelligence,deepseek,0.002072,0.007531,3.9965,0.38735177865612647,1.0,0.0,3,0.012353,0.061557,1.0,0.427262,1.0,0.0,0.381949
Artificial Intelligence,ai,0.02279,0.048676,2.3979,0.15401844532279318,0.378066378066378,0.360138,33,0.38272,0.397872,0.561907,0.156777,0.287603,0.360138,0.376684
Artificial Intelligence,quora,0.001381,0.004911,3.9965,0.38735177865612647,1.0,0.0,2,0.0,0.040142,1.0,0.427262,1.0,0.0,0.374125
Artificial Intelligence,translation,0.001381,0.004405,3.9965,0.38735177865612647,1.0,0.0,2,0.0,0.036006,1.0,0.427262,1.0,0.0,0.373091
Artificial Intelligence,comfortable,0.001381,0.003633,3.9965,0.7312252964426877,0.41666666666666663,0.0,2,0.0,0.029696,1.0,0.825888,0.331818,0.0,0.364489
Artificial Intelligence,comment,0.002072,0.006859,3.9965,0.3978919631093544,0.5111111111111111,0.321988,3,0.012353,0.056065,1.0,0.439481,0.44,0.321988,0.358608
Artificial Intelligence,artificial,0.004144,0.010579,3.9965,0.3978919631093544,0.2738095238095238,0.345609,6,0.049393,0.086471,1.0,0.439481,0.168182,0.345609,0.348798
Artificial Intelligence,says,0.002072,0.005927,3.9965,0.38735177865612647,0.4444444444444444,0.325762,3,0.012353,0.048447,1.0,0.427262,0.363636,0.325762,0.347611
Artificial Intelligence,llm,0.006906,0.014976,3.3305,0.38735177865612647,0.445,0.331739,10,0.098768,0.122412,0.817484,0.427262,0.364273,0.331739,0.347544
Artificial Intelligence,context,0.001381,0.00558,2.6644,0.8814229249011858,0.6,0.0,2,0.0,0.04561,0.634941,1.0,0.541818,0.0,0.342572
Artificial Intelligence,api,0.003453,0.009498,3.9965,0.38735177865612647,0.2369047619047619,0.321988,5,0.03704,0.077635,1.0,0.427262,0.125909,0.321988,0.335696
Artificial Intelligence,images,0.001381,0.003353,3.9965,0.7312252964426877,0.1625,0.0,2,0.0,0.027407,1.0,0.825888,0.040682,0.0,0.334803
Artificial Intelligence,significant,0.001381,0.004208,3.9965,0.38735177865612647,0.6666666666666666,0.0,2,0.0,0.034396,1.0,0.427262,0.618182,0.0,0.334506
Artificial Intelligence,pulse,0.001381,0.005604,3.9965,0.3814229249011858,0.35,0.325762,2,0.0,0.045806,1.0,0.420389,0.255455,0.325762,0.332632
Artificial Intelligence,mark,0.001381,0.005295,3.9965,0.3814229249011858,0.6,0.0,2,0.0,0.043281,1.0,0.420389,0.541818,0.0,0.32806
Artificial Intelligence,copilot,0.001381,0.004481,3.9965,0.38735177865612647,0.6,0.0,2,0.0,0.036627,1.0,0.427262,0.541818,0.0,0.327428
Artificial Intelligence,statistical,0.001381,0.005127,3.9965,0.38735177865612647,0.5833333333333334,0.0,2,0.0,0.041907,1.0,0.427262,0.522727,0.0,0.326839
Artificial Intelligence,thanks,0.002072,0.006574,3.9965,0.3978919631093544,0.49206349206349204,0.0,3,0.012353,0.053735,1.0,0.439481,0.418182,0.0,0.323645
Artificial Intelligence,gpt,0.003453,0.009034,3.9965,0.38735177865612647,0.42000000000000004,0.0,5,0.03704,0.073843,1.0,0.427262,0.335636,0.0,0.323522
Artificial Intelligence,generalization,0.001381,0.005038,3.9965,0.38735177865612647,0.5555555555555556,0.0,2,0.0,0.04118,1.0,0.427262,0.490909,0.0,0.323475
Artificial Intelligence,generative,0.001381,0.005308,3.9965,0.38735177865612647,0.26666666666666666,0.322617,2,0.0,0.043387,1.0,0.427262,0.16,0.322617,0.323198
Artificial Intelligence,street,0.001381,0.004515,3.9965,0.3814229249011858,0.29166666666666663,0.315682,2,0.0,0.036905,1.0,0.420389,0.188636,0.315682,0.322716
Artificial Intelligence,model,0.005525,0.011998,3.5525,0.38735177865612647,0.19543650793650794,0.353069,8,0.074081,0.09807,0.878323,0.427262,0.078409,0.353069,0.322235
Artificial Intelligence,anthropic,0.004834,0.01254,3.9965,0.11857707509881422,0.4095238095238095,0.325762,7,0.061728,0.1025,1.0,0.115693,0.323636,0.325762,0.320264
Artificial Intelligence,wrong,0.002072,0.007712,2.3979,0.3978919631093544,0.8333333333333334,0.32032,3,0.012353,0.063037,0.561907,0.439481,0.809091,0.32032,0.309475
Artificial Intelligence,intelligence,0.004144,0.010344,3.4256,0.3978919631093544,0.19232804232804232,0.345609,6,0.049393,0.084551,0.843546,0.439481,0.074848,0.345609,0.307693
Artificial Intelligence,information,0.001381,0.004876,3.9965,0.38735177865612647,0.375,0.0,2,0.0,0.039856,1.0,0.427262,0.284091,0.0,0.302462
Artificial Intelligence,json,0.002072,0.005841,2.9974,0.38735177865612647,0.5111111111111111,0.321988,3,0.012353,0.047744,0.726199,0.427262,0.44,0.321988,0.299934
Artificial Intelligence,small,0.002762,0.005626,2.6644,0.38735177865612647,0.6458333333333334,0.31403,4,0.024688,0.045986,0.634941,0.427262,0.594318,0.31403,0.298346
Artificial Intelligence,testing,0.001381,0.004281,3.9965,0.3814229249011858,0.35,0.0,2,0.0,0.034992,1.0,0.420389,0.255455,0.0,0.297352
Artificial Intelligence,chatgpt5,0.001381,0.0,3.9965,0.38735177865612647,0.41666666666666663,0.0,2,0.0,0.0,1.0,0.427262,0.331818,0.0,0.297271
Artificial Intelligence,blog,0.002072,0.006548,2.9974,0.3978919631093544,0.7333333333333334,0.0,3,0.012353,0.053523,0.726199,0.439481,0.694545,0.0,0.296468
Artificial Intelligence,deepmind,0.001381,0.00397,3.9965,0.23122529644268774,0.5714285714285714,0.0,2,0.0,0.03245,1.0,0.246277,0.509091,0.0,0.295963
Artificial Intelligence,pretty,0.004144,0.012326,2.6644,0.4126482213438735,0.4166666666666667,0.321988,6,0.049393,0.100751,0.634941,0.456586,0.331818,0.321988,0.295923
Artificial Intelligence,open,0.005525,0.014705,2.9066,0.1597967250141163,0.5520833333333334,0.360138,8,0.074081,0.120197,0.701315,0.163476,0.486932,0.360138,0.294357
Artificial Intelligence,subset,0.001381,0.005241,3.9965,0.38735177865612647,0.29166666666666663,0.0,2,0.0,0.042839,1.0,0.427262,0.188636,0.0,0.293663
Artificial Intelligence,codex,0.001381,0.004659,3.9965,0.38735177865612647,0.29166666666666663,0.0,2,0.0,0.038082,1.0,0.427262,0.188636,0.0,0.292473
Artificial Intelligence,derived,0.001381,0.004109,3.9965,0.38735177865612647,0.29166666666666663,0.0,2,0.0,0.033586,1.0,0.427262,0.188636,0.0,0.291349
Artificial Intelligence,referred,0.001381,0.003941,3.9965,0.38735177865612647,0.29166666666666663,0.0,2,0.0,0.032213,1.0,0.427262,0.188636,0.0,0.291006
Artificial Intelligence,meta,0.002072,0.006419,3.9965,0.26877470355731226,0.39999999999999997,0.0,3,0.012353,0.052468,1.0,0.289805,0.312727,0.0,0.290331
Artificial Intelligence,trained,0.001381,0.004974,3.9965,0.38735177865612647,0.26666666666666666,0.0,2,0.0,0.040657,1.0,0.427262,0.16,0.0,0.290254
Artificial Intelligence,apple,0.001381,0.002545,2.6644,0.8814229249011858,0.19642857142857142,0.0,2,0.0,0.020803,0.634941,1.0,0.079545,0.0,0.290143
Artificial Intelligence,python,0.001381,0.004873,3.9965,0.38735177865612647,0.26666666666666666,0.0,2,0.0,0.039831,1.0,0.427262,0.16,0.0,0.290047
Artificial Intelligence,programming,0.001381,0.003949,3.9965,0.3814229249011858,0.29166666666666663,0.0,2,0.0,0.032279,1.0,0.420389,0.188636,0.0,0.289992
Artificial Intelligence,love,0.001381,0.00455,1.5986,0.8814229249011858,0.6666666666666666,0.0,2,0.0,0.037191,0.342861,1.0,0.618182,0.0,0.289688
Artificial Intelligence,conditions,0.001381,0.004615,3.9965,0.23122529644268774,0.20833333333333331,0.316546,2,0.0,0.037722,1.0,0.246277,0.093182,0.316546,0.287345
Artificial Intelligence,weights,0.001381,0.004305,3.9965,0.38735177865612647,0.25,0.0,2,0.0,0.035189,1.0,0.427262,0.140909,0.0,0.286977
Artificial Intelligence,higher,0.001381,0.004137,3.9965,0.3814229249011858,0.25,0.0,2,0.0,0.033815,1.0,0.420389,0.140909,0.0,0.285603
Artificial Intelligence,ask,0.003453,0.011138,3.3305,0.13122529644268777,0.47333333333333333,0.325762,5,0.03704,0.091041,0.817484,0.130355,0.396727,0.325762,0.285467
Artificial Intelligence,moat,0.001381,0.004732,3.9965,0.38735177865612647,0.225,0.0,2,0.0,0.038679,1.0,0.427262,0.112273,0.0,0.284986
Artificial Intelligence,hosted,0.001381,0.004217,3.9965,0.38735177865612647,0.225,0.0,2,0.0,0.034469,1.0,0.427262,0.112273,0.0,0.283934
Artificial Intelligence,board,0.001381,0.004911,3.9965,0.38735177865612647,0.20833333333333331,0.0,2,0.0,0.040142,1.0,0.427262,0.093182,0.0,0.283443
Artificial Intelligence,probabilistic,0.001381,0.004254,3.9965,0.3814229249011858,0.225,0.0,2,0.0,0.034772,1.0,0.420389,0.112273,0.0,0.282979
Artificial Intelligence,promising,0.001381,0.004686,3.9965,0.3814229249011858,0.19642857142857142,0.0,2,0.0,0.038303,1.0,0.420389,0.079545,0.0,0.280589
Artificial Intelligence,com,0.002072,0.004832,3.9965,0.3814229249011858,0.1638888888888889,0.0,3,0.012353,0.039496,1.0,0.420389,0.042273,0.0,0.27963
Artificial Intelligence,needed,0.001381,0.004155,3.9965,0.3814229249011858,0.18333333333333335,0.0,2,0.0,0.033962,1.0,0.420389,0.064545,0.0,0.278003
Artificial Intelligence,term,0.001381,0.003524,3.9965,0.23122529644268774,0.41666666666666663,0.0,2,0.0,0.028805,1.0,0.246277,0.331818,0.0,0.277325
Artificial Intelligence,server,0.001381,0.003658,3.9965,0.3814229249011858,0.17142857142857143,0.0,2,0.0,0.0299,1.0,0.420389,0.050909,0.0,0.275624
Artificial Intelligence,claude,0.005525,0.014024,3.1972,0.14377470355731226,0.315625,0.325762,8,0.074081,0.11463,0.780954,0.144903,0.21608,0.325762,0.275584
Artificial Intelligence,robots,0.001381,0.004362,3.9965,0.38735177865612647,0.13392857142857142,0.0,2,0.0,0.035654,1.0,0.427262,0.007955,0.0,0.273798
Artificial Intelligence,triton,0.001381,0.004813,3.9965,0.23122529644268774,0.35,0.0,2,0.0,0.039341,1.0,0.246277,0.255455,0.0,0.272322
Artificial Intelligence,output,0.001381,0.003609,3.9965,0.38735177865612647,0.12698412698412698,0.0,2,0.0,0.0295,1.0,0.427262,0.0,0.0,0.271464
Artificial Intelligence,op,0.001381,0.004053,2.6644,0.38735177865612647,0.75,0.0,2,0.0,0.033129,0.634941,0.427262,0.713636,0.0,0.270723
Artificial Intelligence,approaches,0.001381,0.0,3.9965,0.38735177865612647,0.17142857142857143,0.0,2,0.0,0.0,1.0,0.427262,0.050909,0.0,0.26918
Artificial Intelligence,impossible,0.001381,0.004227,3.9965,0.23122529644268774,0.3214285714285714,0.0,2,0.0,0.034551,1.0,0.246277,0.222727,0.0,0.267852
Artificial Intelligence,design,0.001381,0.004589,3.9965,0.23122529644268774,0.29166666666666663,0.0,2,0.0,0.03751,1.0,0.246277,0.188636,0.0,0.265183
Artificial Intelligence,sounds,0.004144,0.011556,1.8446,0.3978919631093544,0.8333333333333334,0.025874,6,0.049393,0.094457,0.410277,0.439481,0.809091,0.025874,0.264967
Artificial Intelligence,works,0.001381,0.005373,2.6644,0.3814229249011858,0.6666666666666666,0.0,2,0.0,0.043918,0.634941,0.420389,0.618182,0.0,0.262844
Artificial Intelligence,great,0.001381,0.004712,1.1419,0.8814229249011858,0.625,0.0,2,0.0,0.038515,0.217703,1.0,0.570455,0.0,0.260215
Artificial Intelligence,means,0.001381,0.003549,2.6644,0.38735177865612647,0.6666666666666666,0.0,2,0.0,0.029009,0.634941,0.427262,0.618182,0.0,0.260148
Artificial Intelligence,according,0.001381,0.006093,3.9965,0.23122529644268774,0.2,0.0,2,0.0,0.049803,1.0,0.246277,0.083636,0.0,0.257756
Artificial Intelligence,profit,0.001381,0.003509,3.9965,0.23122529644268774,0.23809523809523808,0.0,2,0.0,0.028682,1.0,0.246277,0.127273,0.0,0.256839
Artificial Intelligence,good,0.006215,0.018335,1.635,0.43697848045674137,0.33148148148148154,0.324191,9,0.086416,0.149868,0.352836,0.484791,0.234242,0.324191,0.253879
Artificial Intelligence,finding,0.001381,0.004,2.6644,0.38735177865612647,0.5833333333333334,0.0,2,0.0,0.032695,0.634941,0.427262,0.522727,0.0,0.251524
Artificial Intelligence,mode,0.002762,0.008745,3.1972,0.13735177865612647,0.29166666666666663,0.321988,4,0.024688,0.071481,0.780954,0.137457,0.188636,0.321988,0.25068
Artificial Intelligence,posts,0.002072,0.007721,2.9974,0.3978919631093544,0.3055555555555555,0.0,3,0.012353,0.06311,0.726199,0.439481,0.204545,0.0,0.249865
Artificial Intelligence,today,0.001381,0.004316,3.9965,0.23122529644268774,0.14583333333333331,0.0,2,0.0,0.035278,1.0,0.246277,0.021591,0.0,0.24792
Artificial Intelligence,llms,0.002072,0.006966,2.3979,0.38735177865612647,0.5833333333333334,0.0,3,0.012353,0.056939,0.561907,0.427262,0.522727,0.0,0.245449
Artificial Intelligence,finally,0.001381,0.004268,2.6644,0.23122529644268774,0.75,0.0,2,0.0,0.034886,0.634941,0.246277,0.713636,0.0,0.244015
Artificial Intelligence,similar,0.002762,0.007551,2.6644,0.38735177865612647,0.4111111111111111,0.0,4,0.024688,0.061721,0.634941,0.427262,0.325455,0.0,0.243991
Artificial Intelligence,talk,0.001381,0.004326,2.6644,0.3814229249011858,0.225,0.315682,2,0.0,0.03536,0.634941,0.420389,0.112273,0.315682,0.241682
Artificial Intelligence,building,0.001381,0.004208,1.9983,0.23122529644268774,1.0,0.0,2,0.0,0.034396,0.452398,0.246277,1.0,0.0,0.23602
Artificial Intelligence,chinese,0.001381,0.005252,1.9983,0.3814229249011858,0.75,0.0,2,0.0,0.042929,0.452398,0.420389,0.713636,0.0,0.235634
Artificial Intelligence,like,0.010359,0.021137,1.09,0.2793148880105402,0.4766666666666666,0.329272,15,0.160496,0.172771,0.20348,0.302024,0.400545,0.329272,0.234273
Artificial Intelligence,told,0.001381,0.005674,2.6644,0.23122529644268774,0.35,0.325762,2,0.0,0.046379,0.634941,0.246277,0.255455,0.325762,0.233646
Artificial Intelligence,nice,0.001381,0.005731,1.5986,0.7312252964426877,0.375,0.0,2,0.0,0.046844,0.342861,0.825888,0.284091,0.0,0.232576
Artificial Intelligence,thought,0.001381,0.004337,1.3322,0.23122529644268774,1.0,0.325762,2,0.0,0.03545,0.269855,0.246277,1.0,0.325762,0.232351
Artificial Intelligence,version,0.001381,0.005002,1.5986,0.7312252964426877,0.375,0.0,2,0.0,0.040886,0.342861,0.825888,0.284091,0.0,0.231086
Artificial Intelligence,gemini,0.002072,0.005437,2.9974,0.38735177865612647,0.15595238095238095,0.0,3,0.012353,0.044441,0.726199,0.427262,0.033182,0.0,0.226228
Artificial Intelligence,online,0.001381,0.004787,2.6644,0.3814229249011858,0.35,0.0,2,0.0,0.039128,0.634941,0.420389,0.255455,0.0,0.225374
Artificial Intelligence,day,0.002072,0.006826,2.3979,0.2793148880105402,0.5555555555555555,0.0,3,0.012353,0.055795,0.561907,0.302024,0.490909,0.0,0.223195
Artificial Intelligence,search,0.002072,0.006991,2.3979,0.26877470355731226,0.5666666666666667,0.0,3,0.012353,0.057144,0.561907,0.289805,0.503636,0.0,0.222972
Artificial Intelligence,away,0.001381,0.004392,2.6644,0.3814229249011858,0.3333333333333333,0.0,2,0.0,0.0359,0.634941,0.420389,0.236364,0.0,0.222658
Artificial Intelligence,5,0.002072,0.0,2.9974,0.26877470355731226,0.39999999999999997,0.0,3,0.012353,0.0,0.726199,0.289805,0.312727,0.0,0.222454
Artificial Intelligence,control,0.001381,0.004551,2.6644,0.38735177865612647,0.3125,0.0,2,0.0,0.037199,0.634941,0.427262,0.2125,0.0,0.221627
Artificial Intelligence,zero,0.002762,0.008619,2.2837,0.23122529644268774,0.6145833333333334,0.0,4,0.024688,0.070451,0.530611,0.246277,0.558523,0.0,0.221466
Artificial Intelligence,just,0.007597,0.016342,1.1569,0.27667984189723316,0.5136363636363637,0.322617,11,0.111121,0.133577,0.221814,0.298969,0.442893,0.322617,0.221378
Artificial Intelligence,seen,0.001381,0.004345,1.9983,0.3814229249011858,0.625,0.0,2,0.0,0.035515,0.452398,0.420389,0.570455,0.0,0.219462
Artificial Intelligence,look,0.001381,0.003419,1.9983,0.3814229249011858,0.5833333333333334,0.0,2,0.0,0.027946,0.452398,0.420389,0.522727,0.0,0.212797
Artificial Intelligence,running,0.001381,0.003871,1.5986,0.7312252964426877,0.22916666666666666,0.0,2,0.0,0.031641,0.342861,0.825888,0.117045,0.0,0.21207
Artificial Intelligence,used,0.002072,0.006265,1.4987,0.38735177865612647,0.4476190476190476,0.319965,3,0.012353,0.051209,0.315484,0.427262,0.367273,0.319965,0.211183
Artificial Intelligence,driven,0.001381,0.004657,2.6644,0.3814229249011858,0.18333333333333335,0.016646,2,0.0,0.038066,0.634941,0.420389,0.064545,0.016646,0.207682
Artificial Intelligence,article,0.003453,0.008291,1.9983,0.23122529644268774,0.6,0.0,5,0.03704,0.06777,0.452398,0.246277,0.541818,0.0,0.205953
Artificial Intelligence,probably,0.003453,0.009268,2.2203,0.2814229249011858,0.3983333333333333,0.0,5,0.03704,0.075755,0.513237,0.304467,0.310818,0.0,0.205746
Artificial Intelligence,4,0.001381,0.0,2.6644,0.38735177865612647,0.25,0.0,2,0.0,0.0,0.634941,0.427262,0.140909,0.0,0.205168
Artificial Intelligence,product,0.001381,0.004591,2.6644,0.38735177865612647,0.16666666666666666,0.0,2,0.0,0.037526,0.634941,0.427262,0.045455,0.0,0.205004
Artificial Intelligence,kind,0.001381,0.005621,1.3322,0.23122529644268774,1.0,0.0,2,0.0,0.045945,0.269855,0.246277,1.0,0.0,0.202399
Artificial Intelligence,making,0.001381,0.00439,1.1419,0.7312252964426877,0.3333333333333333,0.018546,2,0.0,0.035883,0.217703,0.825888,0.236364,0.018546,0.201886
Artificial Intelligence,exactly,0.002072,0.006293,2.3979,0.11857707509881422,0.611111111111111,0.0,3,0.012353,0.051438,0.561907,0.115693,0.554545,0.0,0.20052
Artificial Intelligence,really,0.002072,0.0058,1.4987,0.3978919631093544,0.611111111111111,0.0,3,0.012353,0.047408,0.315484,0.439481,0.554545,0.0,0.198796
Artificial Intelligence,definition,0.002072,0.007591,2.3979,0.26877470355731226,0.3444444444444444,0.0,3,0.012353,0.062048,0.561907,0.289805,0.249091,0.0,0.198744
Artificial Intelligence,azure,0.001381,0.004217,2.6644,0.23122529644268774,0.29166666666666663,0.0,2,0.0,0.034469,0.634941,0.246277,0.188636,0.0,0.191411
Artificial Intelligence,sure,0.001381,0.004497,1.1419,0.23122529644268774,1.0,0.0,2,0.0,0.036758,0.217703,0.246277,1.0,0.0,0.189672
Artificial Intelligence,believe,0.001381,0.004787,1.1419,0.38735177865612647,0.75,0.0,2,0.0,0.039128,0.217703,0.427262,0.713636,0.0,0.188775
Artificial Intelligence,don,0.002072,0.006168,0.5213,0.38735177865612647,1.0,0.0,3,0.012353,0.050416,0.047629,0.427262,1.0,0.0,0.18869
Artificial Intelligence,paying,0.001381,0.004409,2.6644,0.23122529644268774,0.22916666666666666,0.0,2,0.0,0.036039,0.634941,0.246277,0.117045,0.0,0.184644
Artificial Intelligence,bit,0.001381,0.003616,1.9983,0.3814229249011858,0.3333333333333333,0.0,2,0.0,0.029557,0.452398,0.420389,0.236364,0.0,0.184564
Artificial Intelligence,think,0.002762,0.007735,0.7993,0.26877470355731226,0.675,0.324191,4,0.024688,0.063225,0.123815,0.289805,0.627727,0.324191,0.184169
Artificial Intelligence,using,0.004834,0.012172,1.7485,0.1259175607001694,0.27976190476190477,0.338645,7,0.061728,0.099492,0.383941,0.124202,0.175,0.338645,0.184002
Artificial Intelligence,google,0.002762,0.006209,1.9983,0.3814229249011858,0.20833333333333331,0.0,4,0.024688,0.050752,0.452398,0.420389,0.093182,0.0,0.180482
Artificial Intelligence,hype,0.001381,0.00409,2.6644,0.23122529644268774,0.17142857142857143,0.0,2,0.0,0.033431,0.634941,0.246277,0.050909,0.0,0.177378
Artificial Intelligence,self,0.002072,0.004799,1.9983,0.38735177865612647,0.21428571428571427,0.0,3,0.012353,0.039226,0.452398,0.427262,0.1,0.0,0.176846
Artificial Intelligence,experts,0.001381,0.005171,1.9983,0.38735177865612647,0.18333333333333335,0.0,2,0.0,0.042267,0.452398,0.427262,0.064545,0.0,0.17159
Artificial Intelligence,new,0.002072,0.00835,1.09,0.38735177865612647,0.5277777777777778,0.0,3,0.012353,0.068252,0.20348,0.427262,0.459091,0.0,0.170228
Artificial Intelligence,thing,0.001381,0.003623,0.7993,0.7312252964426877,0.25,0.0,2,0.0,0.029614,0.123815,0.825888,0.140909,0.0,0.170141
Artificial Intelligence,way,0.001381,0.003969,0.8881,0.6126482213438735,0.35,0.0,2,0.0,0.032442,0.14815,0.688431,0.255455,0.0,0.166551
Artificial Intelligence,people,0.003453,0.008634,0.9991,0.3312252964426877,0.5499999999999999,0.0,5,0.03704,0.070573,0.178569,0.362199,0.484545,0.0,0.163549
Artificial Intelligence,working,0.001381,0.004149,1.5986,0.23122529644268774,0.26666666666666666,0.316546,2,0.0,0.033913,0.342861,0.246277,0.16,0.316546,0.161647
Artificial Intelligence,work,0.002762,0.006442,1.5986,0.36264822134387353,0.24166666666666667,0.014613,4,0.024688,0.052656,0.342861,0.398625,0.131364,0.014613,0.161065
Artificial Intelligence,write,0.001381,0.003938,1.3322,0.23122529644268774,0.375,0.321988,2,0.0,0.032189,0.269855,0.246277,0.284091,0.321988,0.159568
Artificial Intelligence,lot,0.001381,0.004274,0.6661,0.7312252964426877,0.19642857142857142,0.010157,2,0.0,0.034935,0.087312,0.825888,0.079545,0.010157,0.15905
Artificial Intelligence,better,0.002072,0.005362,0.9223,0.5480895915678524,0.31666666666666665,0.0,3,0.012353,0.043828,0.157523,0.613593,0.217273,0.0,0.158698
Artificial Intelligence,low,0.001381,0.003924,1.1419,0.38735177865612647,0.5,0.0,2,0.0,0.032074,0.217703,0.427262,0.427273,0.0,0.158376
Artificial Intelligence,make,0.002762,0.006633,1.3322,0.3978919631093544,0.3,0.0,4,0.024688,0.054217,0.269855,0.439481,0.198182,0.0,0.158203
Artificial Intelligence,analysis,0.001381,0.004595,1.5986,0.38735177865612647,0.26666666666666666,0.0,2,0.0,0.037559,0.342861,0.427262,0.16,0.0,0.158051
Artificial Intelligence,free,0.001381,0.004701,1.3322,0.23122529644268774,0.625,0.0,2,0.0,0.038425,0.269855,0.246277,0.570455,0.0,0.157564
Artificial Intelligence,did,0.004834,0.01172,1.5542,0.1021080368906456,0.4761904761904762,0.0,7,0.061728,0.095798,0.330693,0.096602,0.4,0.0,0.156924
Artificial Intelligence,doesn,0.003453,0.008713,1.2489,0.1873517786561265,0.55,0.0,5,0.03704,0.071219,0.247027,0.195418,0.484545,0.0,0.152385
Artificial Intelligence,lol,0.003453,0.008513,1.9983,0.13122529644268777,0.24047619047619045,0.0,5,0.03704,0.069584,0.452398,0.130355,0.13,0.0,0.147837
Artificial Intelligence,does,0.005525,0.011978,1.1025,0.018774703557312256,0.6666666666666666,0.014613,8,0.074081,0.097907,0.206906,0.0,0.618182,0.014613,0.143954
Artificial Intelligence,got,0.002762,0.008397,1.7762,0.13735177865612647,0.3208333333333333,0.0,4,0.024688,0.068636,0.391532,0.137457,0.222045,0.0,0.143226
Artificial Intelligence,company,0.002072,0.004753,2.3979,0.11857707509881422,0.13227513227513227,0.0,3,0.012353,0.03885,0.561907,0.115693,0.006061,0.0,0.142525
Artificial Intelligence,use,0.002762,0.006997,0.7266,0.36264822134387353,0.4375,0.0,4,0.024688,0.057193,0.103891,0.398625,0.355682,0.0,0.135376
Artificial Intelligence,pro,0.001381,0.004633,1.5986,0.23122529644268774,0.29166666666666663,0.0,2,0.0,0.03787,0.342861,0.246277,0.188636,0.0,0.133845
Artificial Intelligence,science,0.001381,0.00422,1.5986,0.23122529644268774,0.29166666666666663,0.0,2,0.0,0.034494,0.342861,0.246277,0.188636,0.0,0.133001
Artificial Intelligence,isn,0.002072,0.005211,0.8564,0.11857707509881422,0.7333333333333334,0.018546,3,0.012353,0.042594,0.139463,0.115693,0.694545,0.018546,0.129675
Artificial Intelligence,research,0.001381,0.003146,1.1419,0.38735177865612647,0.25,0.0,2,0.0,0.025715,0.217703,0.427262,0.140909,0.0,0.12815
Artificial Intelligence,include,0.001381,0.004312,1.3322,0.23122529644268774,0.35,0.0,2,0.0,0.035246,0.269855,0.246277,0.255455,0.0,0.12527
Artificial Intelligence,code,0.001381,0.003563,0.9991,0.38735177865612647,0.1625,0.0,2,0.0,0.029124,0.178569,0.427262,0.040682,0.0,0.111152
Artificial Intelligence,years,0.001381,0.004499,1.3322,0.23122529644268774,0.2,0.0,2,0.0,0.036774,0.269855,0.246277,0.083636,0.0,0.10847
Artificial Intelligence,right,0.001381,0.005123,0.6149,0.38735177865612647,0.16666666666666666,0.0,2,0.0,0.041875,0.07328,0.427262,0.045455,0.0,0.09376
Artificial Intelligence,source,0.001381,0.003206,0.9991,0.23122529644268774,0.225,0.016646,2,0.0,0.026205,0.178569,0.246277,0.112273,0.016646,0.092098
