item_id,post_id,topic,created_at,url,text_preview,annotator_1,annotator_2,annotator_3,annotator_4,final_sentiment,valid_annotation_count,invalid_annotation_count
34,47570708,Artificial Intelligence,2026-03-30T05:33:19Z,https://news.ycombinator.com/item?id=47570708,"""Integrity at OpenAI""<p>Basically an oxymoron at this point.",negative,negative,negative,negative,negative,4,0
35,47570210,Artificial Intelligence,2026-03-30T03:50:39Z,https://news.ycombinator.com/item?id=47570210,What is the fallout if OpenAI goes under?,neutral,neutral,negative,neutral,neutral,4,0
36,47430786,Artificial Intelligence,2026-03-18T20:08:33Z,https://news.ycombinator.com/item?id=47430786,"Yea, I'm afraid of that too. AI atrophies the brain.<p><a href=""https://www.rxjourney.net/how-artificial-intelligence-ai-is-making-us-dumber"" rel=""nofollow"">https://www.rxjourney.net/how-artificial-intelligence-ai-is-...</a>",negative,negative,negative,negative,negative,4,0
37,47054845,Artificial Intelligence,2026-02-17T23:17:59Z,https://news.ycombinator.com/item?id=47054845,LLVM (Low Level Virtual Machine) != LLM (Large Language Model),neutral,neutral,neutral,neutral,neutral,4,0
38,47552815,Artificial Intelligence,2026-03-28T08:55:26Z,https://news.ycombinator.com/item?id=47552815,Is a LLM logic in weights derived from machine learning?,neutral,neutral,neutral,neutral,neutral,4,0
39,47475499,Artificial Intelligence,2026-03-22T08:23:50Z,https://news.ycombinator.com/item?id=47475499,"Finally, a machine learning model to confirm I lack self-control",positive,neutral,neutral,negative,neutral,4,0
40,47306185,Artificial Intelligence,2026-03-09T08:23:17Z,https://news.ycombinator.com/item?id=47306185,"Wait, a decision tree is machine learning?",neutral,neutral,neutral,neutral,neutral,4,0
41,47255735,Artificial Intelligence,2026-03-05T00:01:44Z,https://news.ycombinator.com/item?id=47255735,Have you heard of machine learning?,neutral,neutral,neutral,negative,neutral,4,0
42,47179507,Artificial Intelligence,2026-02-27T11:54:27Z,https://news.ycombinator.com/item?id=47179507,does that show us that AI meant Machine Learning in 2001?,neutral,neutral,neutral,neutral,neutral,4,0
43,47134171,Artificial Intelligence,2026-02-24T07:55:43Z,https://news.ycombinator.com/item?id=47134171,Yet translation was the main application for applied language machine learning.,neutral,neutral,neutral,negative,neutral,4,0
44,46729320,Artificial Intelligence,2026-01-23T06:53:23Z,https://news.ycombinator.com/item?id=46729320,"That's essentially the manifold hypothesis of machine learning, right?",neutral,neutral,neutral,neutral,neutral,4,0
45,46626860,Artificial Intelligence,2026-01-15T01:47:38Z,https://news.ycombinator.com/item?id=46626860,"My blog: <a href=""https://seanwangjs.github.io/"" rel=""nofollow"">https://seanwangjs.github.io/</a> Writes about machine learning and programing",neutral,neutral,neutral,neutral,neutral,4,0
46,46449277,Artificial Intelligence,2025-12-31T23:04:38Z,https://news.ycombinator.com/item?id=46449277,Thanks for letting us know what your chatgpt told you,neutral,negative,neutral,negative,manual_review,4,0
47,46443858,Artificial Intelligence,2025-12-31T13:20:34Z,https://news.ycombinator.com/item?id=46443858,They like the AI chat. Not ChatGPT. AI chats are interchangeable.,neutral,neutral,neutral,neutral,neutral,4,0
48,46440286,Artificial Intelligence,2025-12-31T01:27:04Z,https://news.ycombinator.com/item?id=46440286,Why did you write your comment with ChatGPT?,neutral,neutral,negative,negative,manual_review,4,0
49,46431055,Artificial Intelligence,2025-12-30T08:55:12Z,https://news.ycombinator.com/item?id=46431055,"Every website should be optimized for searches in ChatGPT, Gemini, Claude,...",neutral,neutral,neutral,neutral,neutral,4,0
50,46428650,Artificial Intelligence,2025-12-30T02:02:26Z,https://news.ycombinator.com/item?id=46428650,This sounds like a cookie cutter ChatGPT reply.,negative,negative,negative,negative,negative,4,0
51,46427822,Artificial Intelligence,2025-12-30T00:12:43Z,https://news.ycombinator.com/item?id=46427822,"If ChatGPT told you to go to McDonald’s, would you?",neutral,negative,negative,negative,negative,4,0
52,46446488,Artificial Intelligence,2025-12-31T17:53:28Z,https://news.ycombinator.com/item?id=46446488,They are training AI models.<p>They are investing in AI companies (OpenAI).,neutral,neutral,neutral,neutral,neutral,4,0
53,46444887,Artificial Intelligence,2025-12-31T15:21:00Z,https://news.ycombinator.com/item?id=46444887,I am sure you can make OpenAI stock liquid pretty easily.,neutral,neutral,neutral,negative,neutral,4,0
54,46443096,Artificial Intelligence,2025-12-31T10:50:55Z,https://news.ycombinator.com/item?id=46443096,Deepseek has invested the same amount as OpenAI?,neutral,neutral,neutral,neutral,neutral,4,0
55,46442802,Artificial Intelligence,2025-12-31T09:53:44Z,https://news.ycombinator.com/item?id=46442802,OpenAIs losses are someone else's (taxed) earnings.,neutral,neutral,neutral,negative,neutral,4,0
56,46442425,Artificial Intelligence,2025-12-31T08:32:22Z,https://news.ycombinator.com/item?id=46442425,Not much. It's up to OpenAI to optimize in the future.,neutral,neutral,neutral,negative,neutral,4,0
57,46439901,Artificial Intelligence,2025-12-31T00:21:34Z,https://news.ycombinator.com/item?id=46439901,> It's mathematically impossible what OpenAI is promising<p>Citation is needed,negative,neutral,negative,neutral,manual_review,4,0
58,46436211,Artificial Intelligence,2025-12-30T18:15:20Z,https://news.ycombinator.com/item?id=46436211,"OpenAI is in no way ""commercially successful.""",negative,negative,negative,negative,negative,4,0
59,46393258,Artificial Intelligence,2025-12-26T15:54:19Z,https://news.ycombinator.com/item?id=46393258,Pluribus is certainly in part a commentary on software machine learning models!,neutral,neutral,neutral,neutral,neutral,4,0
60,46329242,Artificial Intelligence,2025-12-19T18:36:42Z,https://news.ycombinator.com/item?id=46329242,AFAIK the enemies are also trained with machine learning.,negative,neutral,neutral,neutral,neutral,4,0
61,46090660,Artificial Intelligence,2025-11-29T20:49:32Z,https://news.ycombinator.com/item?id=46090660,"Sounds awfully like machine learning, doesn't it?",negative,neutral,negative,negative,negative,4,0
62,45607623,Artificial Intelligence,2025-10-16T16:42:31Z,https://news.ycombinator.com/item?id=45607623,"translation is moreso machine learning, not generative hallucinations or a chatbot",neutral,neutral,negative,neutral,neutral,4,0
63,45593096,Artificial Intelligence,2025-10-15T14:25:46Z,https://news.ycombinator.com/item?id=45593096,"> actual name ""machine learning""<p>Yesterday’s hype is today’s humility.",negative,negative,negative,negative,negative,4,0
64,45431199,Artificial Intelligence,2025-09-30T21:02:01Z,https://news.ycombinator.com/item?id=45431199,"Just ask ChatGPT how to design an airplane, easy.",negative,negative,negative,negative,negative,4,0
65,45422816,Artificial Intelligence,2025-09-30T07:21:18Z,https://news.ycombinator.com/item?id=45422816,ChatGPT pulse solves many of these.,neutral,positive,positive,neutral,manual_review,4,0
66,45422225,Artificial Intelligence,2025-09-30T05:30:17Z,https://news.ycombinator.com/item?id=45422225,Sounds a bit similar to ChatGPT Pulse.,neutral,neutral,neutral,neutral,neutral,4,0
67,45421206,Artificial Intelligence,2025-09-30T02:10:54Z,https://news.ycombinator.com/item?id=45421206,"The fact remains, however: ChatGPT did it. Claude did not.",neutral,neutral,neutral,neutral,neutral,4,0
68,45416172,Artificial Intelligence,2025-09-29T17:07:33Z,https://news.ycombinator.com/item?id=45416172,Curious how you find ChatGPT5 to ChatGPT5-Codex?,neutral,neutral,neutral,neutral,neutral,4,0
69,45411073,Artificial Intelligence,2025-09-29T07:09:29Z,https://news.ycombinator.com/item?id=45411073,ChatGPT can't invent this :-) . Love the creativity.,positive,positive,negative,positive,positive,4,0
70,45421135,Artificial Intelligence,2025-09-30T01:58:29Z,https://news.ycombinator.com/item?id=45421135,I thought OpenAI campaigned real hard against this one?,negative,neutral,negative,neutral,manual_review,4,0
71,45400284,Artificial Intelligence,2025-09-27T23:36:57Z,https://news.ycombinator.com/item?id=45400284,Which of the seven OP referred to are OpenAI or Anthropic?,neutral,neutral,neutral,neutral,neutral,4,0
72,45400204,Artificial Intelligence,2025-09-27T23:23:52Z,https://news.ycombinator.com/item?id=45400204,What’s OpenAI’s and anthropic’s day job?,neutral,neutral,neutral,negative,neutral,4,0
73,45398258,Artificial Intelligence,2025-09-27T18:26:43Z,https://news.ycombinator.com/item?id=45398258,Would have been ironic if it was the crawler from OpenAI… :),negative,neutral,negative,neutral,manual_review,4,0
74,45375856,Artificial Intelligence,2025-09-25T17:21:20Z,https://news.ycombinator.com/item?id=45375856,"Watch out, Meta. OpenAI is going to eat your lunch.",negative,neutral,neutral,negative,manual_review,4,0
75,44800370,Artificial Intelligence,2025-08-05T16:38:06Z,https://news.ycombinator.com/item?id=44800370,"gpt-oss models are reportedly being hosted on huggingface.<p><a href=""https://www.bleepingcomputer.com/news/artificial-intelligence/openai-prepares-new-open-weight-models-along-with-gpt-5/"" rel=""nofollow"">https://www.bleepingcomputer.com/news/artificial-intelligenc...</a>",negative,neutral,neutral,neutral,neutral,4,0
76,45365864,Artificial Intelligence,2025-09-24T20:58:42Z,https://news.ycombinator.com/item?id=45365864,Doesn't Zama have an homomorphic machine learning product?,neutral,neutral,negative,neutral,neutral,4,0
77,45197881,Artificial Intelligence,2025-09-10T14:04:41Z,https://news.ycombinator.com/item?id=45197881,"Which means what, exactly, to someone whose not a machine learning researcher?",neutral,neutral,neutral,negative,neutral,4,0
78,45178989,Artificial Intelligence,2025-09-09T08:08:37Z,https://news.ycombinator.com/item?id=45178989,EDA for chip design uses machine learning.,neutral,neutral,neutral,neutral,neutral,4,0
79,44970346,Artificial Intelligence,2025-08-21T08:11:49Z,https://news.ycombinator.com/item?id=44970346,Context Sharing System and Heuristic Transformers Machine Learning are also promising.,positive,neutral,positive,neutral,manual_review,4,0
80,44851673,Artificial Intelligence,2025-08-10T00:27:56Z,https://news.ycombinator.com/item?id=44851673,Hence positronic neural network outperforms machine learning that are used today. /headduck,neutral,negative,neutral,negative,manual_review,4,0
81,44851461,Artificial Intelligence,2025-08-09T23:51:21Z,https://news.ycombinator.com/item?id=44851461,machine learning street talk has interview with the team,neutral,neutral,neutral,neutral,neutral,4,0
82,44723447,Artificial Intelligence,2025-07-29T13:56:45Z,https://news.ycombinator.com/item?id=44723447,"Machine learning is 20% programming, 30% math and 50% demon summoning.",negative,positive,neutral,positive,positive,4,0
83,44425382,Artificial Intelligence,2025-06-30T16:50:06Z,https://news.ycombinator.com/item?id=44425382,The <i>other</i> kind of ChatGPT psychosis?,negative,neutral,neutral,negative,manual_review,4,0
84,44417064,Artificial Intelligence,2025-06-29T22:19:39Z,https://news.ycombinator.com/item?id=44417064,Where do you think ChatGPT got the information from though?,neutral,neutral,neutral,neutral,neutral,4,0
85,44415378,Artificial Intelligence,2025-06-29T18:50:48Z,https://news.ycombinator.com/item?id=44415378,Why are we pushing these pure ChatGPT authored blog posts?,negative,negative,negative,negative,negative,4,0
86,44406376,Artificial Intelligence,2025-06-28T17:17:42Z,https://news.ycombinator.com/item?id=44406376,Anyone else feel like this article was written with ChatGPT,negative,negative,negative,negative,negative,4,0
87,44399707,Artificial Intelligence,2025-06-27T19:46:17Z,https://news.ycombinator.com/item?id=44399707,"More discussion:<p><i>ChatGPT's enterprise success against Copilot fuels OpenAI/Microsoft rivalry</i><p><a href=""https://news.ycombinator.com/item?id=44367638"">https://news.ycombinator.com/item?id=44367638</a>",negative,neutral,neutral,neutral,neutral,4,0
88,44397874,Artificial Intelligence,2025-06-27T16:04:51Z,https://news.ycombinator.com/item?id=44397874,Not a big fan of deferring morality to ChatGPT or any AI.,negative,negative,negative,negative,negative,4,0
89,44384224,Artificial Intelligence,2025-06-26T04:38:09Z,https://news.ycombinator.com/item?id=44384224,"The link on ""adrafinil"" has a utm_source=chatgpt.com",negative,neutral,neutral,neutral,neutral,4,0
90,44379906,Artificial Intelligence,2025-06-25T17:40:24Z,https://news.ycombinator.com/item?id=44379906,"I believe they are talking about the OpenAI API, not ChatGPT.",neutral,neutral,neutral,neutral,neutral,4,0
91,44419960,Artificial Intelligence,2025-06-30T06:08:21Z,https://news.ycombinator.com/item?id=44419960,"""Open"" does not mean ""open source"" anymore thanks to ""OpenAI""",negative,negative,negative,negative,negative,4,0
92,44403801,Artificial Intelligence,2025-06-28T11:04:56Z,https://news.ycombinator.com/item?id=44403801,"Deepseek published thinking trace before OpenAI did, not after.",neutral,neutral,neutral,neutral,neutral,4,0
93,44403237,Artificial Intelligence,2025-06-28T08:57:45Z,https://news.ycombinator.com/item?id=44403237,"""We had difficulties accessing OpenAI, our data provider."" /s",negative,negative,neutral,negative,negative,4,0
94,44398204,Artificial Intelligence,2025-06-27T16:40:00Z,https://news.ycombinator.com/item?id=44398204,Are corporations really comfortable dumping all their data/files to openAI?,negative,neutral,negative,negative,negative,4,0
95,44384052,Artificial Intelligence,2025-06-26T03:54:53Z,https://news.ycombinator.com/item?id=44384052,So why don't Claude and Open AI models do this?,neutral,neutral,negative,neutral,neutral,4,0
96,44384049,Artificial Intelligence,2025-06-26T03:54:15Z,https://news.ycombinator.com/item?id=44384049,"No. Same idea. OpenAI execution failed, let's see anthropic attempt.",negative,negative,negative,negative,negative,4,0
97,43741101,Artificial Intelligence,2025-04-20T02:28:46Z,https://news.ycombinator.com/item?id=43741101,I refuse to use AI. Artificial Intelligence enables and encourages Natural Stupidity.,negative,negative,negative,negative,negative,4,0
98,44227189,Artificial Intelligence,2025-06-09T17:58:26Z,https://news.ycombinator.com/item?id=44227189,"Search for ""large language model"" instead of ""LLM"".",neutral,neutral,neutral,neutral,neutral,4,0
99,44418102,Artificial Intelligence,2025-06-30T00:58:50Z,https://news.ycombinator.com/item?id=44418102,Thankfully with satellites and machine learning nothing is dark these days.,negative,positive,positive,positive,positive,4,0
100,44364976,Artificial Intelligence,2025-06-24T11:26:19Z,https://news.ycombinator.com/item?id=44364976,"Opt-in sync with (self-hosted) server, no machine learning. Otherwise probably similar",neutral,neutral,neutral,neutral,neutral,4,0
101,44309408,Artificial Intelligence,2025-06-18T12:45:03Z,https://news.ycombinator.com/item?id=44309408,There are zero yurts in Mongolia using machine learning.,neutral,neutral,neutral,negative,neutral,4,0
102,44276415,Artificial Intelligence,2025-06-14T13:44:37Z,https://news.ycombinator.com/item?id=44276415,"The entirety of machine learning fits into the ""just"" part.",negative,neutral,neutral,negative,manual_review,4,0
103,44095286,Artificial Intelligence,2025-05-26T08:35:11Z,https://news.ycombinator.com/item?id=44095286,is there a similar repo for machine learning/AI?,neutral,neutral,neutral,neutral,neutral,4,0
104,44085871,Artificial Intelligence,2025-05-25T05:55:16Z,https://news.ycombinator.com/item?id=44085871,"Zealous Autoconfig <a href=""https://m.xkcd.com/416/"" rel=""nofollow"">https://m.xkcd.com/416/</a><p>Machine Learning CAPTCHA <a href=""https://m.xkcd.com/2228/"" rel=""nofollow"">https://m.xkcd.com/2228/</a>",neutral,neutral,neutral,neutral,neutral,4,0
105,44075459,Artificial Intelligence,2025-05-23T18:56:40Z,https://news.ycombinator.com/item?id=44075459,Generalization is a formal concept in machine learning and is measurable.,neutral,neutral,neutral,neutral,neutral,4,0
106,44029009,Artificial Intelligence,2025-05-19T12:15:50Z,https://news.ycombinator.com/item?id=44029009,There are already works using machine learning on thebtopic,neutral,neutral,neutral,neutral,neutral,4,0
107,43540791,Artificial Intelligence,2025-03-31T22:46:18Z,https://news.ycombinator.com/item?id=43540791,"Article says ChatGPT, so that doesn't include users through the API.",neutral,neutral,neutral,neutral,neutral,4,0
108,43538532,Artificial Intelligence,2025-03-31T19:03:54Z,https://news.ycombinator.com/item?id=43538532,Chinese are unable to visit ChatGPT.,neutral,neutral,neutral,neutral,neutral,4,0
109,43534845,Artificial Intelligence,2025-03-31T13:29:48Z,https://news.ycombinator.com/item?id=43534845,"building the quickest AI chrome extension (700k downloads): <a href=""https://chatgptwriter.ai"" rel=""nofollow"">https://chatgptwriter.ai</a>",positive,neutral,neutral,neutral,neutral,4,0
110,43523937,Artificial Intelligence,2025-03-30T13:16:57Z,https://news.ycombinator.com/item?id=43523937,why don’t you ask chatgpt about it,neutral,negative,neutral,negative,manual_review,4,0
111,43511008,Artificial Intelligence,2025-03-28T23:28:41Z,https://news.ycombinator.com/item?id=43511008,I pay for chatgpt and would pay more.,positive,positive,positive,positive,positive,4,0
112,43506960,Artificial Intelligence,2025-03-28T15:56:03Z,https://news.ycombinator.com/item?id=43506960,emdashes are on the rise thanks to people copying and pasting chatgpt,negative,negative,negative,negative,negative,4,0
113,43502563,Artificial Intelligence,2025-03-28T07:33:49Z,https://news.ycombinator.com/item?id=43502563,people have said this since chatGPT first released,neutral,neutral,neutral,neutral,neutral,4,0
114,43539535,Artificial Intelligence,2025-03-31T20:25:50Z,https://news.ycombinator.com/item?id=43539535,I don't believe OpenAI provides on-premise serving.,neutral,neutral,neutral,neutral,neutral,4,0
115,43524234,Artificial Intelligence,2025-03-30T13:55:57Z,https://news.ycombinator.com/item?id=43524234,Wrong about OpenAI because it has a customer noncompete,negative,negative,neutral,negative,negative,4,0
116,43518664,Artificial Intelligence,2025-03-29T20:56:11Z,https://news.ycombinator.com/item?id=43518664,You feel comfortable uploading your family images to OpenAI servers?,negative,negative,negative,negative,negative,4,0
117,43516422,Artificial Intelligence,2025-03-29T15:48:58Z,https://news.ycombinator.com/item?id=43516422,It's in line with OpenAI (157B) and Anthropic (61B),neutral,neutral,neutral,neutral,neutral,4,0
118,43511245,Artificial Intelligence,2025-03-29T00:00:12Z,https://news.ycombinator.com/item?id=43511245,"And also Sam Altman doesn't own either OpenAI or Reddit, lol.",neutral,neutral,neutral,negative,neutral,4,0
119,43507222,Artificial Intelligence,2025-03-28T16:21:13Z,https://news.ycombinator.com/item?id=43507222,Anthropic doing more open AI work than the Ghibli-AI-images company.,neutral,negative,neutral,negative,manual_review,4,0
120,43490774,Artificial Intelligence,2025-03-27T06:05:04Z,https://news.ycombinator.com/item?id=43490774,> OpenAI is making announcements<p>That's what they are good at. /s,negative,negative,negative,negative,negative,4,0
121,43489492,Artificial Intelligence,2025-03-27T01:25:24Z,https://news.ycombinator.com/item?id=43489492,perhaps openai is the wrong tool for this thing.,negative,negative,negative,neutral,negative,4,0
122,43055324,Artificial Intelligence,2025-02-15T02:32:34Z,https://news.ycombinator.com/item?id=43055324,"Coverage: <i>Meta plans investments into AI-driven humanoid robots</i><p><a href=""https://www.reuters.com/technology/artificial-intelligence/meta-plans-investments-into-ai-driven-humanoid-robots-memo-shows-2025-02-14/"" rel=""nofollow"">https://www.reuters.com/technology/artificial-intelligence/m...</a><p>(<a href=""https://news.ycombinator.com/item?id=43051396"">https://news.ycombinator.com/item?id=43051396</a>)",positive,neutral,neutral,neutral,neutral,4,0
123,42889554,Artificial Intelligence,2025-01-31T17:23:10Z,https://news.ycombinator.com/item?id=42889554,“Small LLM” means “Small Large Language Model”,neutral,neutral,neutral,neutral,neutral,4,0
124,43538240,Artificial Intelligence,2025-03-31T18:39:49Z,https://news.ycombinator.com/item?id=43538240,"AI prompt engineering, machine learning, etc.",neutral,neutral,neutral,neutral,neutral,4,0
125,43411257,Artificial Intelligence,2025-03-19T12:55:59Z,https://news.ycombinator.com/item?id=43411257,"The machine learning is only for pro version, why so much prejudice?",positive,negative,negative,negative,negative,4,0
126,43321983,Artificial Intelligence,2025-03-10T16:02:26Z,https://news.ycombinator.com/item?id=43321983,Kevin Murphy racing to rename his Probabilistic Machine Learning series.,neutral,neutral,neutral,negative,neutral,4,0
127,43317314,Artificial Intelligence,2025-03-10T05:41:33Z,https://news.ycombinator.com/item?id=43317314,especially for AI/machine learning and full-stack experts.,neutral,neutral,neutral,neutral,neutral,4,0
128,43244871,Artificial Intelligence,2025-03-03T18:16:50Z,https://news.ycombinator.com/item?id=43244871,"Profile Guided Optimization without Profiles: A Machine Learning Approach<p><a href=""https://www.semanticscholar.org/paper/Profile-Guided-Optimization-without-Profiles%3A-A-Rotem-Cummins/0eb3a393cc4c6590e6314d6d5207859179e21e2f"" rel=""nofollow"">https://www.semanticscholar.org/paper/Profile-Guided-Optimiz...</a>",neutral,neutral,neutral,neutral,neutral,4,0
129,43177980,Artificial Intelligence,2025-02-25T21:51:04Z,https://news.ycombinator.com/item?id=43177980,statistical regression is also machine learning.,neutral,neutral,neutral,neutral,neutral,4,0
130,43164870,Artificial Intelligence,2025-02-24T20:59:49Z,https://news.ycombinator.com/item?id=43164870,so you implemented some sort of machine learning?,neutral,neutral,neutral,neutral,neutral,4,0
131,42559688,Artificial Intelligence,2024-12-31T16:26:31Z,https://news.ycombinator.com/item?id=42559688,"DeepSeek, like lots of models, was trained using chatgpt input output pairs.",neutral,neutral,neutral,neutral,neutral,4,0
132,42548116,Artificial Intelligence,2024-12-30T10:30:26Z,https://news.ycombinator.com/item?id=42548116,"> ChatGPT, generate lists of use cases.",neutral,neutral,neutral,neutral,neutral,4,0
133,42546904,Artificial Intelligence,2024-12-30T06:03:32Z,https://news.ycombinator.com/item?id=42546904,Facebook and ChatGPT are the opposite kinds of products.,neutral,neutral,neutral,neutral,neutral,4,0
